Event,Group,Date (AD Year),SCA Year,Location,Address,City,Zip Code,Autocrat,Toilets,Potable Water,Showers,Camping Availability (Sq Ft),Feast Hall,Equestrian,Archery Allowed,War Field,12th Night,Site Contact,Parking Issues,Site Costs,Attendance,Site Issues,Other Information
Mists/Cynagua War,Principality of the Mists,4/16/1988,22,Berryessa Boy Scout Camp,,Napa,,Eric Holdstar,,,,,,,,,,,,,,,
Mists Spring Feast,Principality of the Mists,4/23/1988,22,St. Mark's Episcopal Church,2300 Bancroft Way,Berkeley,94704,Berengaria de Montfort,,,,,,,,,,,,,,,
Championship Tourney,Canton of Montagne du Roi,4/23/1988,22,,,,,Gregory of Dakkerwald,,,,,,,,,,,,,,,
Beltane,Kingdom of the West,4/30/1988,23,Greenhorn Campground- Rollins Lake,15000 Greenhorn Access Road,Grass Valley,95945,Kevin O'Fiodhabhra,,,,,,,,,,,,,,,
May Revel,Barony of Eskalya,5/7/1988,23,The Chalet beside the Zoo,4731 O'Malley Road,Anchorage,99507,Flanna Dunwalton,,,,,,,,,,,,,,,
Championship Tourney,Canton of the Blue Mists,5/7/1988,23,Kadena High School,Kadena Air Base,Okinawa,,,,,,,,,,,,,,,,,
Spring Investiture,Principality of the Mists,5/13/1988,23,Two Rocks Coast Guard Station,599 Tomales Road,Petaluma,94952,Scott Clifton,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"We are not allowed to host events on this site anymore, it is in their permanent records.",we lost this site due to stupidity
Beltane,Shire of Earngyld,5/14/1988,23,McPhetres Hall,Fourth And Gold,Juneau,99801,Alysaundra ferch Llewelyn,,,,,,,,,,,,,,,
Demo/Prize Tourney,Province of Golden Rivers,5/14/1988,23,CSU- Sacramento,6000 J Street,Sacramento,95819,Karolee Wichmann,,,,,,,,,,,,,,,
Spring Offensive,Barony of Selveirgard,5/20/1988,23,Little Susitna River Campground,Mi. 57.5 Parks Hwy,Houston,99694,Aislynn of Gragon Lair,,,,,,,,,,,,,,,
Heron's Pool,Barony of Allyshia,5/20/1988,23,,,,,FfellyanDrac the Blind,,,,,,,,,,,,,,,
Esfenn/Southern Shores War,Province of Southern Shores,5/21/1988,23,Camp Linblad Boy Scout Camp,17660 Kings Creek Rd.,Boulder Creek,95006,Theodrik of Skane,,,,,,,,,,,,,,,
Coronet Tourney,Principality of Cynagua,5/28/1988,23,Feather River College,570 Golden Eagle Avenue,Quincy,95971,Sagramoss Graclaw,,,,,,,,,,,,,,,
Revel,Canton of Warrior's Gate,5/28/1988,23,Yongsan Army Base,,Seoul,,Eric Graulfr,,,,,,,,,,,,,,,
May Captaincy,Barony of Winter's Gate,5/29/1988,23,Chena Lake Recreation Area,3780 Laurance Road,North Pole,99705,Oriana de Culmstock,,,,,,,,,,,,,,,
Warlord Tourney,Stronghold of Battle Rock,6/4/1988,23,Camp Lester Picnic Grounds,,Okinawa,,Robert de Fecamp,,,,,,,,,,,,,,,
Vakkerfjell Merchant Fair,Shire of Vakkerjfell,6/4/1988,23,Lions Grove,715 5th Street,Yuba City,95901,Emmerick of Vakkerfjell,,,,,,,,,,,,,,,
Warlord Tourney,Province of Southern Shores,6/5/1988,23,De Anza College,21250 Stevens Creek Blvd,Cupertino,95014,Catherine Kenda of Stillwater,,,,,,,,,,,,,,,
5th Annual Archery Competition,Shire of Cloondara,6/5/1988,23,Golden Gate Park - Archery Field,998 47th Ave,San Francisco,94121,Asclin Thorne,,,,,,,,,,,,,,,
Renaissance Festival,Barony of Eskalya,6/11/1988,23,Tudor Center,,Anchorage,99507,Morgan Lyonel,,,,,,,,,,,,,,,
Viking Solstice,Shire of Earngyld,6/18/1988,23,Shrine of St. Therese,21425 Glacier Hwy,Juneau,99801,Marlin Thirsthammer,,,,,,,,,,,,,,,
June Crown,Kingdom of the West,6/18/1988,23,Skyline Wilderness Park,2201 Imola Avenue,Napa,94559,Elayna Amavia,,,,,,,,,,,,,,,
Baroness' Champion Tourney,Barony of Eskalya,6/25/1988,23,Anchorage Zoo,4731 O'Malley Road,Anchorage,99507,Lurana Dolphine,,,,,,,,,,,,,,,
Through a Glass Darkly,Shire of Wuduholt be Secg,6/25/1988,23,Nyentrees,6615 Kings Valley Road,Fort Dick,95531,Briony of Nyentrees.,,,,,,,,,,,,,,,
Archery Championship and Prize Tourney,Barony of Darkwood,7/2/1988,23,San Lorenzo Regional Park,1160 Broadway St,King City,93930,Dietrich,,,,,,,,,,,,,,,
Cynaguan Summer Investiture,Principality of Cynagua,7/9/1988,23,Greenhorn Campground- Rollins Lake,15000 Greenhorn Access Road,Grass Valley,95945,Tristan MacKendrick,,,,,,,,,,,,,,,
Protectorate Tourney,Canton of Borderwinds,7/9/1988,23,Waller County Park,300 Goodwin Rd.,Santa Maria,93454,Karen,,,,,,,,,,,,,,,
Summer Celebration Feast,Canton of Montagne du Roi,7/9/1988,23,American Legion Post 591,1000 Playa Avenue,Seaside,93955,Greg Flusche,,,,,,,,,,,,,,,
Midsummer Coronet,Barony of Winter's Gate,7/15/1988,23,Chena Lake Recreation Area,3780 Laurance Road,North Pole,99705,Black Taylor of Lochaber,,,,,,,,,,,,,,,
Province of the Mists Insurrection,Province of the Mists,7/16/1988,23,Camp Herms Boy Scout Camp,1100 James Pl,El Cerrito,94530,Rober of Woodsende,,,,,,,,,,,,,,,
Rogue's Revel,Barony of Tarnmist,7/16/1988,23,Port San Luis Beach,,Port San Luis Beach,,Christina of Heathers Glenn,,,,,,,,,,,,,,,
Redwood Collegium,Barony of Darkwood,7/23/1988,23,Cabrillo College,6500 Soquel Drive,Aptos,95003,Sabrina Goldbender,,,,,,,,,,,,,,,
Renaissance Prize Tournament,Shire of Earngyld,7/23/1988,23,,,Juneau,,Wolf Federweiss,,,,,,,,,,,,,,,
Medieval Encampment,Barony of Allyshia,7/26/1988,23,Cold Springs on Horse Mountain,Cold Springs Rd.,Berry Summit,95525,Elrinn of Hrassvelg,,,,,,,,,,,,,,,
Baronial Tournament,Palantine Barony of the Far West,7/30/1988,23,Kadena High School,Kadena Air Base,Okinawa,,Robert de Fecamp,,,,,,,,,,,,,,,
Midsummer Feast,Barony of Fettburg,7/30/1988,23,South Hall- Stockton Civic Auditorium,525 North Center Street,Stockton,95202,Sine,,,,,,,,,,,,,,,
Rogue's Revel,Barony of Eskalya,8/6/1988,23,Mac Chalet at Elemendorf Air Force Base,Elmendorf AFB,Anchorage,99521,Penelope O'Suileabhain,,,,,,,,,,,,,,,
Mists Games,Barony of the Westermark,8/6/1988,23,Weekes Community Center,27182 Patrick Ave,Hayward,94544,Iomhar MacThaimhis,,,,,,,,,,,,,,,
Lawn Revel,Shire of Wuduholt be Secg,8/13/1988,23,Del Norte County Fairgrounds,421 Highway 101,Crescent City,95531,Judith la Foncee,,,,,,,,,,,,,,,
Let's Make a Tourney,Barony of the Westermark,8/13/1988,23,,,Half Moon Bay,,Mairi nicColin,,,,,,,,,,,,,,,
Canale/Castillo de los Lobos War,Shire of Canale,8/13/1988,23,,,,,Quindilin Mohrtassen,,,,,,,,,,,,,,,
Treaty Signing and Revel,Barony of Vinhold,8/14/1988,23,Maxwell Farms Regional Park,100 Verano Avenue,Sonoma,95476,Ysabelle le Notere,,,,,,,,,,,,,,,
Championship Demo Tourney,Barony of Rivenoak,8/19/1988,23,Bidwell Park - Cedar Grove,Old Chico Canyon Road,Chico,95928,Morberie of Tor Denley,,,,,,,,,,,,,,,
Collegium Occidentalis,Shire of Champclair,8/20/1988,23,Solano Community College,,Fairfield,,Bernard the Nameless,,,,,,,,,,,,,,,
Purgatorio,Barony of Allyshia,8/27/1988,23,Graybook Ranch,,Hidesville,95547,Peredur Medrus ap Tristan,,,,,,,,,,,,,,,
Ducal Prize,Kingdom of the West,9/3/1988,23,Lion's Grove Park,,Marysville,,Ellis O'Boirne,,,,,,,,,,,,,,,
Harvest Captancy Tourney,Barony of Winter's Gate,9/4/1988,23,North Star Council On Aging,1424 Moore St.,Fairbanks,99701,Karl Braunmeister von dem Montfort,,,,,,,,,,,,,,,
Captaincy Tourney,Barony of Tarnmist,9/10/1988,23,Charles Paddock Zoo,9100 Morro Road,Atascadero,93422,Cecilia of Lindley,,,,,,,,,,,,,,,
Arts and Sciences Competition,Barony of Darkwood,9/10/1988,23,Fort Ord Outdoor Recreation E.C.,,Fort Ord,93955,Muriel du Pays Perdu,,,,,,,,,,,,,,Endangered Species found living in camping area.  Can not use right now. Check back.,
First Sword Tourney,Barony of the Westermark,9/10/1988,23,,,Hayward,,Theodrik of Skane,,,,,,,,,,,,,,,
Arts and Sciences Competition,Stronghold of Battle Rock,9/10/1988,23,Kadena High School,Kadena Air Base,Okinawa,,Eleanor Mabille,,,,,,,,,,,,,,,
10th Anniversary ,Province of Silver Desert,9/10/1988,23,Davis Creek Park ,25 Davis Creek Rd,Washoe Valley,98704,William Barkell,,,,,,,,,,,,,,,
Baron's Light Infantry War,Barony of Eskalya,9/17/1988,23,Centennial Park Group Campground,8300 Glenn Highway,Anchorage,99645,Brendan Shimmeringstar,,,,,,,,,,,,,,,
Champion Tourney,Barony of Fettburg,9/17/1988,23,Burbank Paradise Hall,1313 Beverly Drive,Modesto,95351,,,,,,,,,,,,,,,,
Mists Fall Coronet,Principality of the Mists,9/17/1988,23,Santa Teresa Park,260 Bernal Road,San Jose,95119,Harold von dem Schwarzwald,,,,,,,,,,,,,,,
Eskalyan Collegium,Barony of Eskalya,9/24/1988,23,Alaska Zoo Chalet,4731 O'Malley Road,Anchorage,99507,Nerissa Meraud de la Fontaine,,,,,,,,,,,,,,,
Esfenn/Southern Shores War,Province of Southern Shores,9/24/1988,23,Camp Linblad Boy Scout Camp,17660 Kings Creek Rd.,Boulder Creek,95006,Theodrik of Skane,,,,,,,,,,,,,,,
Japanese Revel,Shire of Earngyld,9/24/1988,23,Breakwater Cellar Room,,Juneau,,Wynflaed of Hawksmir,,,,,,,,,,,,,,,
Golden Rivers Demonstration,Province of Golden Rivers,9/24/1988,23,El Dorado Hills Shopping Center,4364 Town Center Blvd,Sacramento,95762,Elrik Skap Vargr,,,,,,,,,,,,,,,
October Crown,Kingdom of the West,10/1/1988,23,Kelly's Camp,8220 Scotts Valley Road,Upper Lake,95485,Aldric Haldane of Griswold,,,,,,,,,,,,,,,
Harvest Festival,Province of Southern Shores,10/8/1988,23,,,,,Irial of Dun Aengus,,,,,,,,,,,,,,,
Old Fashioned Tourney,Province of the Mists,10/9/1988,23,Laurel Field in Tilden Park,2501 Grizzly Peak Blvd,Berkeley,94563,Mariposa de los Montoyas,,,,,,,,,,,,,,,
Danke Boden Es Ist Freitag,Barony of the Westermark,10/14/1988,23,Legion of Volunteers Building,37600 Central Ave,Newark,94587,Na'arah Bat Avraham,,,,,,,,,,,,,,,
Baronness' Birthday Revel,Barony of Eskalya,10/15/1988,23,Viking Hall,8141 Briarwood Street,Anchorage,99518,Lurana Dolfine,,,,,,,,,,,,,,,
Bard of the Mists Competition,Principality of the Mists,10/15/1988,23,Fellowship Hall of Christ Lutheran Church,16250 East 14th Street,San Lorenzo,94578,William Darcy,,,,,,,,,,,,,,,
All Hallows Eve Banquet,Barony of Vinhold,10/22/1988,23,Vintage Hall ,1401 Grayson Avenue,St. Helena,94574,Torvald Torgarsson,,,,,,,,,,,,,,,
Heraldic Collegium,Province of Golden Rivers,10/23/1988,23,Re-ed West Center for Children,1150 Eastern Ave,Sacramento,95864,Alison von Markheim,,,,,,,,,,,,,,,
Samhein,Barony of Eskalya,10/29/1988,23,Russian Jack Chalet,Boniface Parkway,Anchorage,99508,Vanora,,,,,,,,,,,,,,,
All Hallows Eve,Stronghold of Battle Rock,10/29/1988,23,Camp Lester Picnic Grounds,,Okinawa,,Torrance,,,,,,,,,,,,,,,
Samhein,Barony of Tarnmist,10/29/1988,23,Willow Creek Trailer Park,3500 Bullock Lane,San Luis Obispo,93401,Daniel de Hales,,,,,,,,,,,,,,,
Canale/Castillo de los Lobos War,Shire of Canale,10/29/1988,23,,,,,Quindilin Mohrtassen,,,,,,,,,,,,,,,
Turkey Tourney,Canton of Hawk's Haven,11/5/1988,23,Christmas Hill Park,7050 Miller Ave,Gilroy,95020,Tamesin the Catfooted,,,,,,,,,,,,,,,
Autumn Coronet,Principality of Cynagua,11/5/1988,23,Turlock Lake State Park,Buchanan Road,La Grange,95329,Ciaran Faol Ruadh,,,,,,,,,,,,,,,
Anniversary Revel,Shire of Vakkerfjell,11/12/1988,23,Kynoch School,19th and Ahern Street,Marysville,95901,Ragnald,,,,,,,,,,,,,,,
Harvest Feast,Barony of Tarnmist,11/12/1988,23,Willow Creek Trailer Park,3500 Bullock Lane,San Luis Obispo,93401,Ellen of the Western Wind,,,,,,,,,,,,,,,
Kingdom War College,Kingdom of the West,11/12/1988,23,,,,,Maythen of Elfhaven,,,,,,,,,,,,,,,
Mists Fall Investiture,Principality of the Mists,11/19/1988,23,Veterans Memorial Hall,522 South L Street,Livermore,94550,Diane de la Croix,,,,,,,,,,,,,,,
War Among the Colleges,College of Saint Katherine's,11/20/1988,23,Nature Area at Tilden Park,2501 Grizzly Peak Blvd,Berkeley,94563,Kristen i Sunnanbo,,,,,,,,,,,,,,,
Anniversary Banquet,Province of Golden Rivers,11/26/1988,23,Polish American Hall,327 Main St.,Roseville,95678,Elrick Skap Vargr,,,,,,,,,,,,,,,
Get Your Jingles Out,Province of Southern Shores,12/3/1988,23,Orchard City Grange Hall,109 North 1st St.,Campbell,95008,Jania of Call Duck Manor,,,,,,,,,,,,,,,
Yule Feast,Shire of Earngyld,12/3/1988,23,Shrine of St. Therese,21425 Glacier Hwy,Juneau,99801,Georg,,,,,,,,,,,,,,,
Shire Championship Tourney,Stronghold of Battle Rock,12/3/1988,23,Camp Lester Picnic Grounds,,Okinawa,,Sebastien Mabille,,,,,,,,,,,,,,,
Tarnmist Yule Dessert Revel,Barony of Tarnmist,12/3/1988,23,Willow Creek Trailer Park,3500 Bullock Lane,San Luis Obispo,93401,Achmere ib'Tamim,,,,,,,,,,,,,,,
Yule,Barony of Eskalya,12/10/1988,23,Viking Hall,8141 Briarwood Street,Anchorage,99518,Sharane,,,,,,,,,,,,,,,
Yuletide Revel,Barony of Fettburg,12/10/1988,23,United Lutheran Church,649 Northgate Dr.,Manteca,95336,K'Alan Taurwen ,,,,,,,,,,,,,,,
Althing and Masked Ball,Barony of Darkwood,12/10/1988,23,Louden Nelson Community Canter,301 Center Street,Santa Cruz,95060,Karl Von Krause,,,,,,,,,,,,,,,
Twelfth Night,Kingdom of the West,1/7/1989,23,Stockton Civic Auditorium,525 North Center Street,Stockton,95202,Madoc Hawthorne Sinclair,,,,,,,,,,,,,,,
Through a Glass Darkly,Shire of Wuduholt be Secg,1/14/1989,23,Nyentrees,6615 Kings Valley Road,Fort Dick,95531,Briony of Nyentrees,,,,,,,,,,,,,,,
Archery Tournament,Barony of Darkwood,1/14/1989,23,,,Greenfield,,Iver of the Black Bow,,,,,,,,,,,,,,,
Le Jour d'Amour,Barony of the Westermark,1/14/1989,23,San Felipe Community Center,2058 D. Street,Hayward,94541,Stephen of Beckenham,,,,,,,,,,,,,,,
Winter Coronet,Shire of Earngyld,1/20/1989,23,Tlingit-Haida Hall,,Juneau,,Sharane,,,,,,,,,,,,,,,
Midwinter Revel,Barony of Tarnmist,1/21/1989,23,Willow Creek Trailer Park,3500 Bullock Lane,San Luis Obispo,93401,Astrith of Swansvale,,,,,,,,,,,,,,,
Bride fo Ducal Prize,Kingdom of the West,1/28/1989,23,San Felipe Community Center,2058 D. Street,Hayward,94541,Ellis O'Boirne,,,,,,,,,,,,,,,
Canton Championship Tourney,Canton of Montagne du Roi,1/29/1989,23,Berwick Park,402 Ocean View,Pacific Grove,93950,Casey of Rocktown,,,,,,,,,,,,,,,
Winter Investiture,Principality of Cynagua,2/4/1989,23,American Victorian Museum,325 Spring Street,Nevada City,95959,Regulas,,,,,,,,,,,,,,,
Imbolc Barbecue,Barony of the Westermark,2/5/1989,23,Mitchell Park Community Center,3800 Middlefield Road,Palo Alto,94303,Rhwth Rhys of Eldatir,,,,,,,,,,,,,,,
Baronial Tournament,Stronghold of Battle Rock,2/18/1989,23,Kadena High school,Kadena Air Base,Okinawa,,Robert de Fecamp,,,,,,,,,,,,,,,
Court of Love,Canton of Borderwinds,2/18/1989,23,Minami Center,600 W. Enos,Santa Maria,93458,Susan of Winterwood,,,,,,,,,,,,,,,
White Shield,Barony of Darkwood,3/11/1989,23,Aptos Grange Hall,2555 Mar Vista Drive,Aptos,95003,Ariella of Seascape,,,,,,,,,,,,,,,
Open the Tourney Season Tourney,Province of the Mists,3/11/1989,23,Craigmont Park,960 Regal Rd,Berkeley,94703,Mariposa de los Montoya,,,,,,,,,,,,,,,
March Crown,Kingdom of the West,3/17/1989,23,Placer County Fairgrounds,800 All America City Blvd,Roseville,95678,Grigorii Tataroskii,,,,,,,,,,,,,,,
April Fools Revel,Barony of Eskalya,4/1/1989,23,Girl Scout Camp- Edmunds Lake,,Elkutna,,Roylnnda of the Azurestone,,,,,,,,,,,,,,,
April Fools Revel,Shire of Earngyld,4/1/1989,23,,,Juneau,,Katherine of the Black Eagles,,,,,,,,,,,,,,,
Spring Coronet,Principality of the Mists,4/8/1989,23,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,Berengaria de Montfort of Carcassonne,,,,X,,,,,,,,,,,
Fool's Tourney,Canton of Borderwinds,4/8/1989,23,Waller County Park,300 Goodwin Rd.,Santa Maria,93454,Ruben ben Yosef,,,,,,,,,,,,,,,
Collegium Occidentalis,Kingdom of the West,4/15/1989,23,U.C. Berkeley,University Drive,Berkeley,94720,Ceridwen MacAouthegain,,,,,,,,,,,,,,,
Reunion Revel,College of Saint Katherine's,4/15/1989,23,Haas Clubhouse - U.C. Berkeley,2220 Piedmont Ave,Berkeley,94704,Ciaran,,,,,,,,,,,,,,,
Newcomers Tourney,Province of Southern Shores,4/15/1989,23,John D. Morgan Park,349 Budd Ave,Campbell,95008,Michael of Worcester,,,,,,,,,,,,,,,
Darkwood/Tarnmist War,Barony of Darkwood,4/15/1989,23,San Lorenzo Regional Park,1160 Broadway St,King City,93930,Achmere ib Tamim,,,,,,,,,,,,,,,
Laimhrig an Ri,Canton of the Blue Mists,4/15/1989,23,Kadena High School,Kadena Air Base,Okinawa,,Cerridwen ni Morna,,,,,,,,,,,,,,,
Tournament,Shire of Caldarium,4/16/1989,23,San Francisco Theological Seminary,105 Seminary Rd,San Anselmo,94960,Tamsin of the Raven Tresses,,,,,,,,,,,,,,,
Mists Spring Banquet,Principality of the Mists,4/22/1989,23,Cupertino Oddfellows Hall,20598 W. Homestead Rd.,Cupertino,95014,Ella du Vergne,,,,,,,,,,,,,,,
Anniversary Tourney and Revel,Barony of the Westermark,4/23/1989,23,Beresford Recreation Center,2720 Alameda De Las Pulgas,San Mateo,94403,Masako,,,,,,,,,,,,,,,
Beltane,Kingdom of the West,4/28/1989,24,Greenhorn Campground- Rollins Lake,15000 Greenhorn Access Road,Grass Valley,95945,Mariana Silversea,,,,,,,,,,,,,,,
May Revel,Shire of Wuduholt be Secg,5/6/1989,24,Rowdy Creek Campground,1000 Rowdy Creek Rd,Smith River,95567,Judith la Foncee,,,,,,,,,,,,,,,
Newcomers Tourney,Province of Southern Shores,5/7/1989,24,John D. Morgan Park,349 Budd Ave,Campbell,95008,Michael of Worcester,,,,,,,,,,,,,,,
Maypole Fest,Shire of Earngyld,5/13/1989,24,Southeast Alaska United Methodist Camp,27500 Glacier Highway,Juneau,99801,Jean Gray,,,,,,,,,,,,,,,
Mist Spring Investiture,Principality of the Mists,5/13/1989,24,Two Rocks Coast Guard Station,599 Tomales Road,Petaluma,94952,Theodrik of Skane,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"We are not allowed to host events on this site anymore, it is in their permanent records.",we lost this site due to stupidity
Warlord Tourney,Barony of Selveirgard,5/20/1989,24,Little Susitna River Campground,Mi. 57.5 Parks Hwy,Houston,99694,Aryana Silkynfire,,,,,,,,,,,,,,,
Bardic Contest and Picnic,Shire of Cloondara,5/20/1989,24,Pioneer Park - Log Cabin Picnic Grounds,Telegraph Hill Boulevard,San Francisco,94133,Theodoros,,,,,,,,,,,,,,,
Summer Coronet,Principality of Cynagua,5/26/1989,24,Feather River College,570 Golden Eagle Avenue,Quincy,95971,Frederick of Menthieth,,,,,,,,,,,,,,,
Captaincy Tourney,Barony of Winter's Gate,5/27/1989,24,Chena Lake Recreation Area,3780 Laurance Road,North Pole,99705,Oriana de Cumstock,,,,,,,,,,,,,,,
Protect the Canton Tourney,Canton of Warrior's Gate,5/27/1989,24,Camp Red Cloud,,Uijongbu,,Isleif Brimstone,,,,,,,,,,,,,,,
Warlord DeAnza Day Tourney,Province of Southern Shores,6/4/1989,24,De Anza College,21250 Stevens Creek Blvd,Cupertino,95014,Irial of Dun Aengus,,,,,,,,,,,,,,,
Gypsey Encampment,Barony of Eskalya,6/9/1989,24,Centennial Park Group Campground,8300 Glenn Highway,Anchorage,99645,Morgan Lyonel,,,,,,,,,,,,,,,
Redwood Collegium,Barony of Darkwood,6/10/1989,24,Cabrillo College,6500 Soquel Drive,Aptos,95003,Anastasia Ivanova,,,,,,,,,,,,,,,
Gratuitous Gathering,Barony of Fettburg,6/10/1989,24,Rotary Park,S Forest Road,Sonora,95370,Krista Beckland,,,,,,,,,,,,,,,
Mad Dog Tourney,Shire of Crosston,6/17/1989,24,Serra Park,730 The Dalles Avenue,Sunnyvale,94085,Llelan Dyfddnwld,,,,,,,,,,,,,,,
Solstice Pilot Tourney,Shire of Earngyld,6/24/1989,24,Southeast Alaska United Methodist Camp,27500 Glacier Highway,Juneau,99801,Rhea Loueciennes,,,,,,,,,,,,,,,
June Crown,Barony of Darkwood,6/24/1989,24,San Lorenzo Regional Park,1160 Broadway St,King City,93930,Sebastian von Baden,,,,,,,,,,,,,,,
Archery Tourney,Barony of Darkwood,7/8/1989,24,,,Greenfield,,Debra Cobb,,,,,,,,,,,,,,,
Canale Feast,Shire of Canale,7/8/1989,24,Turlock VFW Hall,1405 E. Linwood Ave,Turlock,95380,Kateline Deveraux Simpson,,,,,,,,,,,,,,,
Cynaugan Investiture,Principality of Cynagua,7/14/1989,24,Almanor Overflow Campground - Humbug Rest Area,,Lake Almanor,,Bothy,,,,,,,,,,,,,,,
Medieval Encampment,Barony of Allyshia,7/15/1989,24,Cold Springs on Horse Mountain,Cold Springs Rd.,Berry Summit,95525,Marisol of Viana,,,,,,,,,,,,,,,
Sayonara Tourney and Feast,Stronghold of Battle Rock,7/15/1989,24,Chibana Rec Center,,Okinawa,,Adela de Lillipont,,,,,,,,,,,,,,,
Arts & Sciences Tourney,Kingdom of the West,7/22/1989,24,Two Rocks Coast Guard Station,599 Tomales Road,Petaluma,94952,Siranna of Hawthorn Hall,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"We are not allowed to host events on this site anymore, it is in their permanent records.",we lost this site due to stupidity
Rogue's Revel,Barony of Tarnmist,7/22/1989,24,Avila Beach ,,Pier  San Luis,,Kaz,,,,,,,,,,,,,,,
Oerthan Summer Coronet,Principality of Oertha,7/23/1989,24,Little Susitna River Campground,Mi. 57.5 Parks Hwy,Houston,99694,Piasa Dragonsaver,,,,,,,,,,,,,,,
Culinary Collegium,Principality of the Mists,7/29/1989,24,Cupertino Oddfellows Hall,20598 W. Homestead Rd.,Cupertino,95014,Beregaria de Montfort,,,,,,,,,,,,,,,
Know Thy Neighbor Revel and Barbecue,Castillo de los Lobos,7/29/1989,24,Beard Brook Park,400 S Morton Blvd,Modesto,95354,Maritsa Szekely,,,,,,,,,,,,,,,
Annual Midsummer Celebration,Canton of Montagne du Roi,7/29/1989,24,Masonic Hall,525 Pacific St,Monterey,93940,Dinane von Heidlburg,,,,,,,,,,,,,,,
Wedding Revel,Canton of Borderwinds,7/29/1989,24,Waller County Park,300 Goodwin Rd.,Santa Maria,93454,Jenna Whitehart,,,,,,,,,,,,,,,
Mists Principality Games,Province of the Mists,8/5/1989,24,Camp Herms Boy Scout Camp,1100 James Pl,El Cerrito,94530,Krystianna of Dragonrun,,,,,,,,,,,,,,,
Baronial Palatine Tourney,Canton of Eternal Winds,8/5/1989,24,Misawa Air Base,,Misawa,,Olaf Ketilsson,,,,,,,,,,,,,,,
Baroinal Championship,Barony of Vinhold,8/5/1989,24,Skyline Wilderness Park,2201 Imola Avenue,Napa,94559,Robert J. Koepke II,,,,,,,,,,,,,,,
Sinister Chicken War,Barony of Eskalya,8/11/1989,24,,,Chugiak,99567,Mary Helms,,,,,,,,,,,,,,,
Protectorate Tourney,Canton of Borderwinds,8/12/1989,24,El Chorro Regional Park,Dairy Creek Road,San Luis Obispo,93405,Ruben ben Yosef,,,,,,,,,,,,,,,
Purgatorio ,Kingdom of the West,8/25/1989,24,Graybrook Ranch,,Hydesville,,Senkyu,,,,,,,,,,,,,,,
Ducal Prize,Kingdom of the West,9/1/1989,24,Lion's Grove Park,,Marysville,,Eilis O'Boirne,,,,,,,,,,,,,,,
Blanket Tourney,Castillo de los Lobos,9/8/1989,24,Eagle's Lodge,,Chowchilla,,Adriana Ashworth,,,,,,,,,,,,,,,
Arts and Sciences Competition,Barony of Darkwood,9/9/1989,24,Fort Ord Travel Camp,,Fort Ord,93955,Sabrina Goldbender,,,,,,,,,,,,,,Endangered Species found living in camping area.  Can not use right now. Check back.,
Vinhold vs. Westermark War,Barony of Vinhold,9/9/1989,24,Skyline Wilderness Park,2201 Imola Avenue,Napa,94559,Eric Lyon of St. Michaels,,,,,,,,,,,,,,,
